10 	 160
20 	 285
30 	 418
40 	 598
50 	 736
60 	 830
70 	 1008
80 	 1103
90 	 1249
100 	 1428
110 	 1536
120 	 1647
130 	 1802
140 	 1906
150 	 2057
160 	 2219
170 	 2347
180 	 2469
190 	 2582
200 	 2761
210 	 2859
220 	 3003
230 	 3158
240 	 3263
250 	 3373
